Core	Mode	Notes
u502_c0001	C1	
u502_c0002	C1	
u502_c0003	C1	
u502_c0005	C1	
u502_c0007	C1	
u502_c0009	C1	
u502_c0011	C1	
u502_c0012	C1	
u502_c0013	C1	
u502_c0014	C1	
u502_c0015	C1	
u502_c0016	C1	
u502_c0021	C1	
u502_c0022	C1	
u502_c0024	C1	
u502_c0026	C1	
u502_c0032	C1	
u502_c0037	C1	
u502_c0038	C1	
u502_c0040	C1	
u502_c0041	C1	
u502_c0044	C1	
u502_c0047	C1	Only gets sucked in later
u502_c0049	C1	Only gets sucked in later
u502_c0051	C1	
u502_c0061	C1	
u502_c0063	C1	
u502_c0068	C1	
u502_c0069	C1	
u502_c0070	C1	
u502_c0071	C1	
u502_c0074	Alone	Good one.
u502_c0075	C1	
u502_c0076	Alone	
u502_c0079	Alone	Nice Disk
u502_c0081	C1	
u502_c0083	C1	
u502_c0084	C1	
u502_c0091	C1	
u502_c0099	C1	Not even a core.
u502_c0105	Alone	Near S1, but not affected.  Nice disk
u502_c0106	C1	major
u502_c0107	C1	
u502_c0108	C1	
u502_c0112	B1	Near S1
u502_c0113	B1	Near S1
u502_c0114	Alone	
u502_c0131	B7	A found binary not split binary
u502_c0132	B7	A found binary not split binary
u502_c0141	Alone	
u502_c0185	Alone	Isolated
u502_c0187	Alone	Spins
u502_c0191	Alone	Spins
u502_c0192	Alone	S3?
u502_c0193	Alone	S3?
u502_c0195	Alone	S3?
u502_c0197	C3	N2 has a big cluster
u502_c0199	C3	
u502_c0202	C3	
u502_c0203	Alone	Disk
u502_c0205	C3	
u502_c0206	C3	
u502_c0208	C3	Probably not a real core
u502_c0211	Alone	
u502_c0213	Alone	
u502_c0214	Alone	Leisurely
u502_c0258	Alone	Disk
u502_c0268	B2	Odd and tiny. Slow.
u502_c0270	B3	Small multiple, N7
u502_c0271	B3	
u502_c0278	Alone	N7 interactions
u502_c0279	Alone	
u502_c0280	Alone	
u502_c0283	C4	Probably not real
u502_c0284	C4	
u502_c0285	C4	
u502_c0286	C4	
u502_c0287	C4	
u502_c0297	Alone	
u502_c0300	Alone	Merger
u502_c0301	Alone	
u502_c0314	B4	
u502_c0315	B4	
u502_c0329	Alone	
u502_c0338	Alone	
u502_c0344	C5	N12 has a big event
u502_c0345	C5	
u502_c0346	C5	
u502_c0347	C5	
u502_c0349	B8	
u502_c0350	B8	
u502_c0351	Alone	S6 adjacent
u502_c0352	Alone	
u502_c0353	Alone	
u502_c0356	Alone	
u502_c0358	B5	Forms itself, then gets eaten
u502_c0359	B5	Major
u502_c0360	B5	Major
u502_c0361	Alone	Forms itself, then gets eaten
u502_c0362	B6	Two cores form, then merge
u502_c0363	B6	Two cores form, then merge
u502_c0365	Alone	Looks alone, but its probably S6
u502_c0367	C2	Probably not real
u502_c0368	C2	Major
u502_c0369	C2	Major
u502_c0370	C2	Not real
u502_c0371	C2	Not real
u502_c0373	B2	
u502_c0375	B2	
u502_c0377	B3	Not real
u502_c0378	Alone	Leisurely
u502_c0381	Alone	Cool.
