https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G301.46-26.07|09 25 30.20|-88 18 19.6|  16.815001|         1.863000|            |            |          |          |
|PGCC G301.49-25.86|09 47 46.52|-88 11 23.3|           |                 |            |            |          |          |
|PGCC G305.01-25.94|16 42 41.76|-87 47 30.6|  19.193001|         2.324000|            |            |          |          |
|PGCC G300.42-26.22|08 17 37.43|-87 34 48.5|  17.546000|         2.956000|            |            |          |          |
|PGCC G303.85-24.44|14 00 55.11|-87 11 25.1|  13.822000|         3.302000|            |            |          |          |
|PGCC G303.75-24.40|13 52 34.74|-87 10 22.4|           |                 |            |            |          |          |
|PGCC G301.49-29.66|02 36 51.45|-87 10 07.4|  16.533001|         1.779000|            |            |          |          |
|PGCC G301.52-24.53|11 05 57.03|-87 06 26.3|  18.181000|         4.028000|            |            |          |          |
|PGCC G299.86-26.20|08 03 04.37|-87 05 59.3|  15.986000|         2.009000|            |            |          |          |
|PGCC G301.20-24.55|10 44 55.60|-86 59 10.8|  15.588000|         1.992000|            |            |          |          |
|PGCC G303.94-24.24|14 02 29.26|-86 58 25.6|           |                 |            |            |          |          |
|PGCC G304.01-24.21|14 06 16.66|-86 55 40.4|  17.261000|         5.695000|            |            |          |          |
|PGCC G300.90-24.55|10 28 19.35|-86 50 16.0|  17.134001|         3.570000|            |            |          |          |
|PGCC G309.00+1.90 |13 40 49.63|-60 23 08.6|           |                 |            |            |          |          |
|PGCC G304.27-24.20|14 22 27.37|-86 50 01.9|           |                 |            |            |          |          |
|PGCC G301.52-24.23|11 15 16.83|-86 49 44.2|           |                 |            |            |          |          |
|PGCC G301.44-24.23|11 10 41.57|-86 48 14.0|           |                 |1.012100e+01|1.205970e+01|  1.340600|  0.583708|
|PGCC G304.17-24.09|14 13 05.53|-86 45 57.6|           |                 |            |            |          |          |
|PGCC G301.20-24.27|10 55 19.13|-86 44 49.6|  14.818000|         4.041000|            |            |          |          |
|PGCC G300.86-24.30|10 36 03.32|-86 36 29.3|  16.233999|         3.404000|            |            |          |          |
|PGCC G300.42-24.55|10 04 21.30|-86 34 33.7|  16.791000|         3.639000|            |            |          |          |
|PGCC G301.30-23.93|11 11 17.73|-86 29 03.5|  14.948000|         3.080000|            |            |          |          |
|PGCC G300.10-24.55|09 50 27.73|-86 22 26.5|  16.278999|         2.338000|            |            |          |          |
|PGCC G299.90-24.58|09 40 58.76|-86 16 21.1|           |                 |            |            |          |          |
|PGCC G299.75-24.69|09 30 33.33|-86 14 18.4|           |                 |            |            |          |          |
|PGCC G300.20-24.22|10 07 45.24|-86 11 27.3|           |                 |            |            |          |          |
|PGCC G300.08-24.21|10 03 17.75|-86 06 55.9|           |                 |            |            |          |          |
|PGCC G300.20-24.11|10 12 12.86|-86 06 27.8|  16.316999|         1.563000|            |            |          |          |
|PGCC G298.89-25.41|08 28 56.72|-85 59 13.2|  17.733000|         2.534000|            |            |          |          |
|PGCC G301.05-23.27|11 14 45.97|-85 47 07.7|  16.941999|         2.556000|            |            |          |          |
|PGCC G298.32-28.87|05 14 43.38|-85 34 06.1|  17.184999|         2.427000|            |            |          |          |
|PGCC G298.16-25.46|08 12 12.07|-85 24 35.8|  15.572000|         1.623000|            |            |          |          |
|PGCC G300.74-31.48|02 24 08.39|-85 15 07.7|  14.671000|         0.835000|            |            |          |          |
|PGCC G300.96-31.56|02 14 14.40|-85 14 40.6|  13.960000|         1.417000|            |            |          |          |
|PGCC G298.07-25.11|08 26 15.86|-85 11 20.4|  16.584000|         2.621000|            |            |          |          |
|PGCC G303.81-22.35|13 30 01.01|-85 09 09.0|  13.830000|         1.313000|            |            |          |          |
|PGCC G304.24-31.97|23 59 40.13|-85 01 15.3|  16.400000|         1.060000|            |            |          |          |
|PGCC G302.73-22.14|12 42 45.26|-85 00 26.0|  18.794001|         3.354000|            |            |          |          |
|PGCC G303.97-22.21|13 35 42.73|-84 59 15.9|           |                 |            |            |          |          |
|PGCC G303.62-22.04|13 20 00.25|-84 52 41.0|           |                 |            |            |          |          |
|PGCC G300.52-31.81|02 25 48.11|-84 52 00.7|  14.689000|         1.487000|            |            |          |          |
|PGCC G307.95+2.09 |13 32 10.04|-60 23 06.6|           |                 |            |            |          |          |
|PGCC G304.30-22.14|13 48 44.80|-84 51 28.0|  15.186000|         1.263000|            |            |          |          |
|PGCC G304.14-22.01|13 40 51.19|-84 46 00.3|  14.029000|         3.212000|            |            |          |          |
|PGCC G303.83-21.96|13 28 16.79|-84 45 57.2|  16.108999|         1.660000|            |            |          |          |
|PGCC G304.27-21.96|13 45 22.14|-84 41 24.0|  14.791000|         2.733000|            |            |          |          |
|PGCC G300.39-31.95|02 27 33.89|-84 41 23.5|  13.786000|         1.010000|            |            |          |          |
|PGCC G298.76-23.33|09 48 28.99|-84 38 38.3|  15.550000|         1.939000|            |            |          |          |
|PGCC G304.43-21.86|13 50 48.59|-84 33 41.3|           |                 |            |            |          |          |
|PGCC G305.96-22.42|14 55 04.17|-84 33 07.5|  15.804000|         1.771000|            |            |          |          |
|PGCC G306.69-22.77|15 26 53.66|-84 28 01.5|           |                 |            |            |          |          |
|PGCC G304.63-21.64|13 55 53.44|-84 18 03.6|  16.857000|         1.880000|            |            |          |          |
|PGCC G308.69-24.56|17 10 58.99|-84 13 08.2|  15.382000|         0.950000|            |            |          |          |
|PGCC G305.28-21.76|14 20 19.13|-84 13 03.5|  14.696000|         4.175000|            |            |          |          |
|PGCC G308.87-24.38|17 07 51.27|-83 59 14.6|           |                 |            |            |          |          |
|PGCC G305.30-4.78 |13 16 09.09|-67 32 10.6|           |                 |            |            |          |          |
|PGCC G305.02-21.42|14 07 01.11|-83 59 05.9|  17.271000|         1.738000|            |            |          |          |
|PGCC G307.19-22.40|15 32 04.63|-83 53 27.7|  16.160999|         3.618000|            |            |          |          |
|PGCC G308.83-23.56|16 41 23.32|-83 35 28.2|           |                 |            |            |          |          |
|PGCC G308.94-23.50|16 41 40.23|-83 28 24.8|           |                 |            |            |          |          |
|PGCC G309.84-24.87|17 37 33.55|-83 23 46.8|  16.228001|         1.505000|            |            |          |          |
|PGCC G307.39-32.51|22 33 06.79|-83 22 32.3|           |                 |            |            |          |          |
|PGCC G309.01-23.38|16 39 46.23|-83 20 54.6|  15.670000|         1.275000|            |            |          |          |
|PGCC G304.31-20.60|13 36 13.49|-83 20 49.8|  17.542000|         3.257000|6.632070e-01|3.453760e-01|  0.591586|  0.054795|
