
3 SIMS MACH NUMBERS
Sim 0 MachNum 8.207112, 
Sim 0 MachNum 7.852788, 
Sim 0 MachNum 7.624779, 
Sim 0 MachNum 7.409457, 
Sim 0 MachNum 7.240664, 
Sim 0 MachNum 7.066008, 
Sim 0 MachNum 6.919589, 
Sim 0 MachNum 6.773255, 
Sim 0 MachNum 6.644153, 
Sim 0 MachNum 6.535318, 
Sim 0 MachNum 6.467659, 
Sim 0 MachNum 6.433502, 
Sim 0 MachNum 6.424872, 
Sim 0 MachNum 6.407436, 

Sim 1 MachNum 8.149647, 
Sim 1 MachNum 7.896366, 
Sim 1 MachNum 7.676788, 
Sim 1 MachNum 7.438765, 
Sim 1 MachNum 7.263219, 
Sim 1 MachNum 7.126244, 
Sim 1 MachNum 6.987872, 
Sim 1 MachNum 6.890502, 
Sim 1 MachNum 6.808504, 
Sim 1 MachNum 6.760677, 
Sim 1 MachNum 6.728215, 
Sim 1 MachNum 6.724175, 
Sim 1 MachNum 6.738147, 

Sim 2 MachNum 8.720847, 
Sim 2 MachNum 8.413780, 
Sim 2 MachNum 8.117419, 
Sim 2 MachNum 7.850116, 
Sim 2 MachNum 7.627883, 
Sim 2 MachNum 7.455732, 
Sim 2 MachNum 7.354359, 
Sim 2 MachNum 7.321491, 
Sim 2 MachNum 7.358714, 
Sim 2 MachNum 7.435866, 
Sim 2 MachNum 7.528732, 
Sim 2 MachNum 7.596551, 

